AAPL
MSFT
NVDA
GOOG
GOOGL
AMZN
META
BRK.B
LLY
AVGO
TSLA
JPM
WMT
UNH
V
XOM
MA
PG
JNJ
ORCL
COST
HD
ABBV
KO
MRK
BAC
CVX
NFLX
PEP
CRM
TMO
ADBE
TMUS
LIN
AMD
ACN
DHR
MCD
ABT
CSCO
WFC
PM
AMGN
QCOM
INTU
IBM
GE
VZ
PFE
TXN
AXP
DIS
NOW
NEE
BX
ISRG
CAT
MS
RTX
CMCSA
SPGI
GS
AMAT
UNP
T
LOW
HON
LMT
TJX
VRTX
PGR
SYK
BLK
ELV
UBER
COP
REGN
PLD
BKNG
SCHW
C
ETN
NKE
MMC
AMT
CB
UPS
BSX
ADP
BA
MDT
ADI
MU
ANET
LRCX
PANW
BMY
DE
SO
KKR
CI
GILD
MDLZ
KLAC
HCA
FI
INTC
DUK
MO
SHW
SBUX
ICE
CL
MCO
WM
ABNB
ZTS
MCK
GD
SNPS
EQIX
CTAS
CVS
ITW
NOC
CMG
CME
TT
AON
FDX
APH
EOG
BDX
MMM
WELL
MSI
CDNS
TDG
ECL
PNC
ORLY
PH
CSX
USB
TGT
SLB
PYPL
AJG
RSG
APD
EMR
MAR
NXPI
FCX
MPC
DHI
CARR
ROP
AFL
TFC
PSX
NEM
NSC
PSA
AZO
AEP
MNST
CHTR
CRWD
CEG
COF
SRE
O
WMB
HLT
OXY
MET
CCI
ADSK
CPRT
PCAR
COR
SPG
DLR
TRV
PCG
AIG
VLO
KDP
LEN
KMB
D
OKE
ROST
GWW
ALL
BK
GM
KMI
PAYX
GEV
JCI
STZ
URI
TEL
IQV
HUM
KHC
LHX
FTNT
MSCI
ODFL
HES
FIS
CNC
A
MCHP
HSY
AMP
CMI
PRU
EA
FICO
PEG
KR
F
EXC
MPWR
IDXX
GIS
FAST
NDAQ
SYY
GEHC
YUM
VRSK
OTIS
ACGL
IT
HWM
CTSH
EW
SMCI
DOW
NUE
KVUE
CTVA
RCL
BKR
AME
IR
PWR
VMC
EFX
ED
MLM
EXR
EL
CBRE
FANG
GLW
XEL
MRNA
DD
HPQ
VICI
RMD
DFS
GRMN
HIG
EIX
XYL
IRM
CSGP
MTD
LYB
BIIB
AVB
ON
DXCM
TRGP
ROK
BRO
PPG
WTW
AWK
WEC
LULU
EBAY
ADM
HAL
CDW
LVS
TSCO
MTB
FITB
DVN
WAB
NVR
DG
EQR
PHM
ANSS
VLTO
ETR
DAL
BR
DTE
VST
TTWO
CAH
SBAC
FE
TYL
IFF
NTAP
GPN
STT
DOV
CHD
STE
FTV
TROW
ES
HPE
ROL
WY
VTR
FSLR
ZBH
PPL
RJF
KEYS
AXON
AEE
DECK
INVH
WST
SW
BF.B
K
DLTR
TSN
GDDY
WRB
MKC
LYV
PTC
MOH
WAT
CBOE
CINF
WBD
BALL
HBAN
LH
STX
GPC
ARE
CMS
HUBB
ATO
LDOS
HOLX
CPAY
TDY
RF
STLD
APTV
EQT
WDC
CCL
COO
BLDR
VRSN
TER
ESS
HRL
OMC
BAX
CTRA
CLX
CFG
J
SYF
BBY
PKG
MAA
PFG
EXPD
CNP
NTRS
L
DRI
AVY
FOX
FOXA
SWKS
DGX
JBHT
ZBRA
MAS
TXT
ULTA
ALGN
IP
EG
FDS
GEN
RVTY
AMCR
SWK
DOC
LUV
DPZ
MRO
KIM
CAG
IEX
EXPE
CPB
LNT
NRG
SNA
AKAM
CE
NWSA
NI
NWS
ENPH
VTRS
BG
EVRG
PNR
NDSN
PODD
KEY
POOL
UDR
CF
UAL
SJM
REG
UHS
TECH
CPT
JNPR
TRMB
INCY
JKHY
DVA
KMX
AES
EPAM
CRL
AOS
CHRW
BEN
HST
EMN
IPG
JBL
ALLE
FFIV
TAP
TFX
MGM
CTLT
APA
LKQ
BXP
HII
RL
QRVO
ALB
PNW
WBA
SOLV
MTCH
MHK
BIO
PAYC
FRT
HSIC
AIZ
MKTX
HAS
MOS
TPR
GNRC
WYNN
DAY
GL
LW
PARA
FMC
CZR
BWA
BBWI
IVZ
ETSY
NCLH
AAL
AZN
SHEL
ULVR
HSBA
RIO
BP
REL
GSK
BATS
DGE
LSEG
GLEN
NG
CRH
CPG
RR
BA
LLOY
HLN
EXPN
BARC
RKT
III
AAL
NWG
FLTR
AHT
TSCO
SSE
VOD
ANTO
ABF
IMB
PRU
STAN
CCL
BT.A
LGEN
AV
SGRO
IHG
RTO
NXT
INF
SMT
BNZL
SGE
SN
CCH
HLMA
IAG
ADM
SVT
WPP
AUTO
PSON
WISE
CNA
PSH
MNDI
JD
MKS
SBRY
MRO
SPX
SMDS
SMIN
CRDA
TW
DPLM
SDR
BKG
PHNX
HL
DCC
BDEV
FCIT
WTB
PSN
WEIR
INVP
KGF
HWDN
CTEC
LAND
UTG
MNG
IMI
BME
RMV
FRES
HIK
AAF
HSX
BEZ
DARK
BLND
STJ
PCT
IGG
ATST
GAW
UKW
BWY
OCDO
EZJ
BVIC
GRG
CCC
SXS
JMAT
BRBY
RSW
CWK
DNLM
HBR
BPT
BBY
JET
HVPD
GRI
PLUS
IWG
WIZZ
HMSO
TRN
PETS
IHP
JUST
FUTR
ASCL
ONT
AWE
FAN
WOSG
ELM
JDW
CMCX
RNWH
MEGP
KIE
IBST
GROW
JDG
SNR
BMY
EBOX
YOU
CER
TIG
FSFL
TLW
PZC
NICL
FDP
MTRO
BOO
MER
RCH
HFD
DOTD
LGRS
CPI
GYM
CABP
KEYS
SDY
FSJ
ANCR
SAAS
SLP
BKS
WJG
GMR
OMG
I3E
KIST
BGO
CBOX
SHOE
ARB
TIME
LINV
TBLD
RBN
SRES
